CMDLINE /opt/anaconda3/bin/python main.py --audio_path kor_sample/kor_click.mp3 --label_path kor_sample_label/kor_click.txt --language Korean --model base
MEM 0.203125 1751894666.4166
MEM 28.109375 1751894666.5181
MEM 43.734375 1751894666.6232
MEM 66.250000 1751894666.7284
MEM 94.765625 1751894666.8334
MEM 119.000000 1751894666.9386
MEM 130.250000 1751894667.0469
MEM 148.062500 1751894667.1514
MEM 158.484375 1751894667.2566
MEM 166.546875 1751894667.3617
MEM 173.109375 1751894667.4669
MEM 180.546875 1751894667.5720
MEM 188.093750 1751894667.6771
MEM 197.328125 1751894667.7822
MEM 205.906250 1751894667.8848
MEM 216.437500 1751894667.9899
MEM 222.828125 1751894668.0951
MEM 232.312500 1751894668.2003
MEM 237.375000 1751894668.3016
MEM 247.953125 1751894668.4028
MEM 260.265625 1751894668.5079
MEM 295.015625 1751894668.6130
MEM 354.906250 1751894668.7182
MEM 233.562500 1751894668.8236
MEM 403.609375 1751894668.9287
MEM 496.296875 1751894669.0339
MEM 561.625000 1751894669.1390
MEM 492.296875 1751894669.2442
MEM 492.296875 1751894669.3494
MEM 507.671875 1751894669.4514
MEM 445.156250 1751894669.5566
MEM 658.359375 1751894669.6615
MEM 658.390625 1751894669.7666
MEM 658.390625 1751894669.8717
MEM 658.406250 1751894669.9769
MEM 714.078125 1751894670.0820
MEM 730.296875 1751894670.1871
MEM 740.140625 1751894670.2923
MEM 782.546875 1751894670.3975
MEM 789.390625 1751894670.5027
MEM 802.656250 1751894670.6046
MEM 814.671875 1751894670.7098
MEM 815.375000 1751894670.8151
MEM 815.437500 1751894670.9181
MEM 816.015625 1751894671.0234
MEM 816.031250 1751894671.1287
MEM 816.531250 1751894671.2311
MEM 816.546875 1751894671.3364
MEM 795.234375 1751894671.4416
MEM 795.531250 1751894671.5448
MEM 796.750000 1751894671.6502
MEM 790.687500 1751894671.7549
MEM 791.921875 1751894671.8603
MEM 779.578125 1751894671.9644
MEM 781.875000 1751894672.0697
MEM 782.078125 1751894672.1716
MEM 782.109375 1751894672.2729
MEM 784.421875 1751894672.3782
MEM 784.437500 1751894672.4834
MEM 784.593750 1751894672.5887
MEM 763.156250 1751894672.6914
MEM 763.156250 1751894672.7965
MEM 767.312500 1751894672.9013
MEM 754.546875 1751894673.0066
MEM 777.390625 1751894673.1117
MEM 798.984375 1751894673.2170
